Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Tue Sep 15 09:58:34 MSK 2015	Film	US cinema chain offers $100 ticket for repeat viewings of Spectre	[Spectre, Film, Culture, James Bond, Thriller, Daniel Craig, Sam Mendes, US news, World news]
Tue Sep 15 09:54:24 MSK 2015	Books	Man Booker shortlist 2015: Marilynne Robinson out as new writers surge ahead	[Man Booker prize 2015, Booker prize, Books, Fiction, Culture, Awards and prizes]
Tue Sep 15 09:53:40 MSK 2015	Sport	Talking Horses: Tuesday’s best bets plus the latest racing news	[Horse racing tips, Horse racing, Sport]
Tue Sep 15 09:41:16 MSK 2015	Australia news	Nationals senators cross floor to back Greens on competition law changes	[National party, Australian politics, Coalition, Australia news, Malcolm Turnbull, Australian Greens]
Tue Sep 15 09:39:01 MSK 2015	NSPCC partner zone	10 tips for solution-focused practice with children and young people	[Social Care Network - NSPCC partner zone]
Tue Sep 15 09:36:19 MSK 2015	Children's books	From Doctor Who to Once Upon a Time: books to match your favourite TV shows	[Children and teenagers, Books, Culture, Children's books: 8-12 years, Teen books, Doctor Who, Orange is the New Black, Kurt Vonnegut, Douglas Adams, Alice Walker, Neil Gaiman, Cassandra Clare, Fantasy]
Tue Sep 15 09:33:00 MSK 2015	Football	FC Astana’s group stage debut shows how far Kazakh football has come | Jonathan Wilson	[Champions League, Kazakhstan, Benfica, Football, Sport]
Tue Sep 15 09:31:01 MSK 2015	Social Care Network - Skills for Care partner zone	Looking for a graduate job? Social care might be for you	[Social Care Network - Skills for Care partner zone]
Tue Sep 15 09:30:20 MSK 2015	Guardian Sustainable Business	Free Money Day: what happens when you give money to strangers?	[Guardian sustainable business, Money, Currencies, Business]
Tue Sep 15 09:29:01 MSK 2015	Money	UK house prices rise 2% in July	[Property, Money, Housing, House prices, Communities, Society, UK news, London, Politics]
Tue Sep 15 09:23:28 MSK 2015	Business	Vodafone slips on doubts about Liberty asset swap deal	[Business, Stock markets, Vodafone, Thomas Cook]
Tue Sep 15 09:22:35 MSK 2015	Media	Condé Nast names Robert Sauerberg as chief executive	[Conde Nast, Consumer magazines, Magazines, Newspapers & magazines, Media]
Tue Sep 15 09:22:01 MSK 2015	Television & radio	Downton Abbey trailer: 'I haven’t been into the kitchens for 20 years!'	[Downton Abbey, Period drama, Television, Television & radio, Drama, Culture, ITV channel]
Tue Sep 15 09:20:48 MSK 2015	Business	Ocado warns Morrisons cannot launch rival online service	[Ocado, Morrisons, Waitrose, Business, John Lewis, Retail industry, Supermarkets, Online shopping, Consumer affairs, Money]
Tue Sep 15 09:18:40 MSK 2015	Comment is free	Why Jeremy Corbyn’s wait-and-see stance on EU membership makes sense | Simon Jenkins	[European Union, World news, Europe, Politics, UK news, Jeremy Corbyn, David Cameron, EU referendum, Foreign policy, Labour, Labour party leadership]
Tue Sep 15 09:17:13 MSK 2015	Football	Rafael Benítez says Gerrard is wrong about ‘frosty’ relationship at Liverpool	[Liverpool, Rafael Benítez, Steven Gerrard, Football, Sport]
Tue Sep 15 09:15:13 MSK 2015	Education	Don’t even think about starting university in a relationship	[Freshers, Students, Education, Higher education, Relationships, Life and style]
Tue Sep 15 09:14:23 MSK 2015	Housing Network	Night shelters rebranded: ‘People still think of one room, 25 beds, drugs and chaos’	[Housing Network, Community building, Housing, Homelessness, Social exclusion, Society, Homelessness, Communities, Local government, Local government, Politics]
