Tue Sep 08 21:00:09 MSK 2015	Teacher Network	Educating Cardiff episode 3 brings bad girls and behaviour problems	[Teacher Network, Education, Schools, Secondary schools, Primary schools, Behaviour management]
Tue Sep 08 21:00:08 MSK 2015	Sport	All eyes on Andy Murray as Australia take Davis Cup heat off Kyrgios	[Andy Murray, Nick Kyrgios, Bernard Tomic, Davis Cup, Tennis, Sport, Australia sport]
Tue Sep 08 21:00:08 MSK 2015	Sport	Andy Murray has Louis Armstrong blues but all the time in world for Davis Cup	[Andy Murray, US Open 2015, US Open tennis, Davis Cup, US sports, Tennis, Sport]
Tue Sep 08 21:00:08 MSK 2015	Guardian Small Business Network	Facebook unveils updates to help businesses interact with customers	[Supporting business growth, Guardian Small Business Network, Business, Small business, Facebook, Social media, Social networking, Technology]
Tue Sep 08 21:00:08 MSK 2015	UK news	The foundations for Queen's record reign were set by Victoria	[The Queen, Monarchy, UK news, Queen Victoria]
Tue Sep 08 20:59:17 MSK 2015	Football	Wayne Rooney breaks England record in Euro qualifying win over Switzerland	[Euro 2016 qualifiers, England, Switzerland, Euro 2016, Football, Sport]
Tue Sep 08 20:48:04 MSK 2015	Australia news	Calls to prioritise Christian refugees are discriminatory – Australia's grand mufti	[Australian immigration and asylum, Migration, Syria, Europe, Islam, Christianity, Middle East and North Africa, Religion, World news, Australia news, Australian politics, Tony Abbott, Barnaby Joyce, Eric Abetz]
Tue Sep 08 20:41:22 MSK 2015	Football	Euro 2016 qualifying clockwatch – as it happened!	[Euro 2016, Euro 2016 qualifiers, Football, Sport]
Tue Sep 08 20:37:36 MSK 2015	Football	England v Switzerland: Euro 2016 qualifier – as it happened	[Euro 2016 qualifiers, Euro 2016, England, Switzerland, Football, Sport]
Tue Sep 08 20:33:44 MSK 2015	Music	OMI’s Cheerleader: a summer anthem we can celebrate	[Pop and rock, Music, Culture, Reggae]
Tue Sep 08 20:31:42 MSK 2015	Law	Barrister hits out over sexist comment on her LinkedIn photo by legal expert	[Law, Equality, UK news, Society, LinkedIn, Work & careers]
Tue Sep 08 20:30:08 MSK 2015	Sport	Plan B or bust: a team-by-team guide to AFL finals tactical punts | Ben Cuzzupe	[AFL, Fremantle Dockers, West Coast Eagles, Hawthorn, Sydney Swans, Richmond, Western Bulldogs, Adelaide, North Melbourne, Australian rules football, Australia sport, Sport]
Tue Sep 08 20:29:36 MSK 2015	World news	Hungarian nationalist TV camera operator filmed kicking refugee children	[Hungary, Migration, Europe, World news, Refugees]
Tue Sep 08 20:22:19 MSK 2015	US news	Kentucky clerk Kim Davis released from jail after judge lifts contempt ruling	[Kentucky, US news, Same-sex marriage (US)]
Tue Sep 08 20:12:27 MSK 2015	US news	Lindsey Graham calls on US to admit its ‘fair share’ of Syrian refugees	[US elections 2016, US politics, Syria, US news, US foreign policy, US immigration, World news]
Tue Sep 08 20:09:44 MSK 2015	Sport	England v Australia: third ODI – as it happened	[Cricket, England cricket team, Australia cricket team, Australia sport, Sport, Over by over reports, Ashes 2015]
Tue Sep 08 20:00:06 MSK 2015	News	Corrections and clarifications	[]
Tue Sep 08 19:42:12 MSK 2015	World news	Israel’s important role in the Middle East | Letters	[Israel, Middle East and North Africa, World news, UK news, Binyamin Netanyahu, Migration, Refugees, Gaza, Palestinian territories, Foreign policy, Politics]
Tue Sep 08 19:41:06 MSK 2015	Politics	Drone strike in Syria won’t make the UK a safer place | Letters	[Counter-terrorism policy, Syria, Military, David Cameron, UK news, Drones (military), World news, Islamic State, Politics, Middle East and North Africa, Foreign policy, UK security and counter-terrorism]
Tue Sep 08 19:40:33 MSK 2015	World news	Refugee crisis requires a united European response | Letters	[Migration, World news, Refugees, Europe, Middle East and North Africa, Syria, European Union]
Tue Sep 08 19:39:42 MSK 2015	Education	PE lessons should include disabled children too | Letters	[Education, Disability, Society, Disability sport, Sport]
Tue Sep 08 19:39:03 MSK 2015	Comment is free	The City’s stranglehold makes Britain look like an oh-so-civilised mafia state | George Monbiot	[Politics, UK news, Housing, Public services policy, Society, Tax and spending, Financial sector, Business]
Tue Sep 08 19:33:54 MSK 2015	World news	Donate cash if you want to help Syrian refugees, aid groups say	[Refugees, Syria, Middle East and North Africa, World news, Charities, Society, Voluntary sector, UK news, Migration, Aid, Disasters Emergency Committee, United Nations, Global development]
Tue Sep 08 19:30:11 MSK 2015	UK news	Death of British jihadi in July drone strike raises 'kill list' questions	[UK security and counter-terrorism, UK news, Islamic State, Counter-terrorism policy, Syria, Politics, World news, Middle East and North Africa]
Tue Sep 08 19:29:27 MSK 2015	Life and style	For plum timings, start in the south | Letters	[Food & drink, Life and style, NHS, Health, Society, UK news, Charities, Voluntary sector, Charitable giving, Consumer affairs, Money]
Tue Sep 08 19:28:22 MSK 2015	Comment is free	The Guardian view on Britain’s Syria drone strikes: nastiness evident, necessity unproven | Editorial	[Syria, Middle East and North Africa, World news, Islamic State, David Cameron, Politics, Military, UK news, Drones (military)]
Tue Sep 08 19:28:20 MSK 2015	World news	Afghanistan officials say 11 police killed by US 'friendly fire' airstrike	[Afghanistan, US military, World news, South and Central Asia, US news]
Tue Sep 08 19:21:00 MSK 2015	Sport	Toulon under the spotlight over doping allegations	[Toulon, Drugs in sport, Rugby union, Sport, Rugby World Cup]
Tue Sep 08 19:20:44 MSK 2015	Comment is free	The Guardian view on Sports Direct: big British capitalism at its grubbiest | Editorial	[Sports Direct International, Retail industry, Business, Mike Ashley, Football, Zero-hours contracts, UK news, Investments, Money]
Tue Sep 08 19:16:46 MSK 2015	Sport	Andy Farrell warns England not to be complacent after Wales injuries	[England rugby union team, Rugby World Cup 2015, Wales rugby union team, Rugby World Cup, Rugby union, Sport]
Tue Sep 08 19:16:42 MSK 2015	US news	New York faces 'greater likelihood' of lone-wolf terrorist attacks – NYPD chief	[New York, September 11 2001, US news, Bill Bratton]
Tue Sep 08 19:02:40 MSK 2015	Comment is free	Death penalty by drone strike is a challenge for liberal minds | Rafael Behr	[Islamic State, World news, Drones (military), UK news, Syria, Middle East and North Africa]
Tue Sep 08 19:00:05 MSK 2015	UK news	Law banning assisted dying  is dangerous and cruel, say senior doctors	[UK news, Assisted dying, Law, Society, Doctors, NHS, Health, Politics, Hospitals]
Tue Sep 08 19:00:05 MSK 2015	Society	Medical profession’s views on the assisted dying bill	[Assisted dying, Doctors, Society, Law, Death and dying, Life and style, House of Commons, Politics, Religion, World news, UK news]
Tue Sep 08 18:59:02 MSK 2015	Politics	Tory staffer flees after being spotted at Jeremy Corbyn rally	[Labour party leadership, Conservatives, Labour, Jeremy Corbyn, Politics, UK news, Media, Channel 4, Television industry]
Tue Sep 08 18:57:59 MSK 2015	Politics	Concerns over Labour vote aired at shadow cabinet meeting	[Labour party leadership, Labour, Politics, UK news]
Tue Sep 08 18:52:12 MSK 2015	Society	Whitbread living wage warning raises fear of price rises and job cuts	[Living wage, Society, George Osborne, Minimum wage, Employment law, Politics, UK news, Whitbread, Business, Food & drink industry, National living wage]
Tue Sep 08 18:48:51 MSK 2015	Life and style	Differences between EU and US nutrition labels go far beyond ounces and grams	[Health & wellbeing, Life and style, Health, Food & drink, Food & drink industry, Business, Guardian sustainable business]
Tue Sep 08 18:48:42 MSK 2015	UK news	Kevin McGuigan family say three members under death threat in Northern Ireland	[Northern Ireland, UK news, IRA, Sinn Féin, Politics]
Tue Sep 08 18:48:04 MSK 2015	Film	Sam Smith's Spectre song could be a return to classic Bond themes	[James Bond, Sam Smith, Spectre, Skyfall, Adele, John Barry, Music, Film, UK news, Culture, Thriller]
Tue Sep 08 18:46:28 MSK 2015	Sport	Johanna Konta’s career heading upwards after impressing at US Open	[US Open 2015, Tennis, US Open tennis, Sport, US sports]
Tue Sep 08 18:45:05 MSK 2015	Film	Our Brand is Crisis trailer: Sandra Bullock is back, with suicidal llama	[Toronto film festival 2015, Toronto film festival, Culture, Sandra Bullock, David Gordon Green, Festivals, Film]
Tue Sep 08 18:40:50 MSK 2015	Law	Human rights group brings legal action against government over drone strike	[Human rights, UK security and counter-terrorism, Counter-terrorism policy, Syria, Islamic State, Middle East and North Africa, Politics, UK news, Michael Fallon, David Cameron, Law]
Tue Sep 08 18:38:35 MSK 2015	Film	Aretha Franklin movie banned from Toronto film festival as well as Telluride	[Toronto film festival 2015, Toronto film festival, Telluride film festival, Telluride film festival 2015, Documentary, Film, Culture, Festivals]
Tue Sep 08 18:37:12 MSK 2015	Television & radio	Obama prepares for exit – pursued by a Bear	[US television, Barack Obama, Television, Culture, Television & radio, US news]
Tue Sep 08 18:30:05 MSK 2015	Books	Jonathan Tel wins Commonwealth short story prize	[Commonwealth book prize, Short stories, Books, Awards and prizes, Fiction, Culture]
Tue Sep 08 18:29:21 MSK 2015	Sport	Spain’s Juan José Lobato takes Tour of Britain lead after frenetic finish	[Tour of Britain, Cycling, Sport]
