Thu Sep 03 16:05:49 MSK 2015	E.ON partner zone	How to use technology more efficiently in your business	[E.ON partner zone]
Thu Sep 03 16:03:13 MSK 2015	Comment is free	Children in pubs? There are more annoying things | Amy Fleming	[Pubs, Children, Parents and parenting, Family, Life and style, Food & drink, Society, UK news]
Thu Sep 03 16:00:42 MSK 2015	US news	If you're trying too hard to be cool in college, you're doing it wrong	[US universities, Life and style, US education, Back to school, Schools, US news, Education]
Thu Sep 03 16:00:19 MSK 2015	World news	Civilian deaths claimed in 71 US-led airstrikes on Isis	[Syria, US news, Islamic State, Iraq, Middle East and North Africa, World news]
Thu Sep 03 16:00:15 MSK 2015	xAd partner zone	xAd global location snapshot: Western Europe	[xAd partner zone]
Thu Sep 03 16:00:14 MSK 2015	Science	Could some farming practices benefit tropical birds? | @GrrlScientist	[Science, Evolution, Zoology, Biology, Agriculture, Birds, Wildlife, Environment, Farming, Food, Biodiversity, Conservation, Animals, Colombia, Cattle, Beef]
Thu Sep 03 16:00:13 MSK 2015	Television & radio	Bringing Up Britain review: Cutting through the nonsense of raising a mini-Einstein	[Children, Mariella Frostrup, Radio, Television & radio, Culture]
Thu Sep 03 16:00:13 MSK 2015	Books	The best novels in English: readers' alternative list	[Books, Culture, Fiction, Chinua Achebe, Arundhati Roy, Toni Morrison, Margaret Atwood, Cormac McCarthy, Rohinton Mistry, David Foster Wallace, Kurt Vonnegut, JRR Tolkien, Harry Potter, JK Rowling, Alasdair Gray, Alice Walker]
Thu Sep 03 15:56:51 MSK 2015	Media	AOL's Millennial Media deal underlines rise in automated ad buying	[Advertising, Media, AOL, Internet, Technology, Mobile phones, Digital media, Media business, US news]
Thu Sep 03 15:54:26 MSK 2015	World news	Our politicians are failing us in the refugee crisis. Ordinary citizens must step in | Letters	[Refugees, World news, Migration, Immigration and asylum, UK news, Society, Politics]
Thu Sep 03 15:50:05 MSK 2015	UK news	Hillsborough victim declared dead without proper examination, inquest told	[UK news]
Thu Sep 03 15:48:00 MSK 2015	Football	Championship ticket prices: how did clubs end up charging £52 a game?	[Championship, Football, Ticket prices, Sheffield Wednesday, Sport, Brighton & Hove Albion, Fulham, Ipswich Town, Leeds United, MK Dons, Reading, QPR, Hull City]
Thu Sep 03 15:47:23 MSK 2015	Television & radio	Daniel Radcliffe in the first trailer for BBC's Grand Theft Auto drama The Gamechangers	[Daniel Radcliffe, Grand Theft Auto, Television, Culture, Games, Television & radio, BBC2, BBC, Media]
Thu Sep 03 15:44:07 MSK 2015	Sport	RIP Deflategate: a saga that made everyone look stupid	[Deflategate, Sport, New England Patriots, NFL, US sports, Tom Brady]
Thu Sep 03 15:41:29 MSK 2015	Fashion	Autumn style: 12 things you need to know	[Fashion, Life and style]
Thu Sep 03 15:41:00 MSK 2015	Football	The Fiver | The most Arsenal that Arsenal could be	[Football, Sport]
Thu Sep 03 15:38:12 MSK 2015	Society	Nicola Sturgeon vows to fight for minimum alcohol price in Scotland	[Alcohol, Alcoholism, Scotland, Nicola Sturgeon, Health, Politics, Society, UK news, Court of justice of the European Union, Law]
Thu Sep 03 15:37:48 MSK 2015	Books	My highlight: Manga now by Timon Screech	[Manga, Comics and graphic novels, Exhibitions, Books, Culture, Art and design]
Thu Sep 03 15:36:17 MSK 2015	UK news	Northern Ireland police chief backs ceasefire monitoring group	[Northern Ireland, Police, IRA, UK security and counter-terrorism, UK news]
Thu Sep 03 15:34:12 MSK 2015	Zurich partner zone	The next big thing: what social media tools should charities be using?	[Zurich partner zone]
Thu Sep 03 15:33:31 MSK 2015	Art and design	All about my mother: the most Freudian exhibition ever	[Art, Installation, Art and design, Exhibitions, Culture]
Thu Sep 03 15:33:20 MSK 2015	Film	A worldwide Star Wars unboxing: may the merch be with you in 18-hour event	[Star Wars: The Force Awakens, Film, Culture, Technology]
Thu Sep 03 15:29:36 MSK 2015	Sport	County cricket – as it happened	[Cricket, County Championship Division One, County Championship Division Two, Sport, Worcestershire, Sussex, Yorkshire, Somerset]
Thu Sep 03 15:26:05 MSK 2015	Books	Patrick Ness leads fundraising drive to aid refugees	[Patrick Ness, Books, Children and teenagers, Culture, Refugees]
Thu Sep 03 15:18:47 MSK 2015	Guardian Sustainable Business	Biggest food and drink companies found to be ignoring impact on climate	[Guardian sustainable business, Food, Greenhouse gas emissions, Climate change, Environment, Food & drink, Food & drink industry, Farming, Business, Tobacco industry, Life and style]
Thu Sep 03 15:12:31 MSK 2015	Business	Competition watchdog postpones publication of banking inquiry	[Competition and Markets Authority, HSBC, Royal Bank of Scotland, Lloyds Banking Group, Barclays, Banking, Regulators, Business]
Thu Sep 03 15:12:20 MSK 2015	Money	Abz on the farm – with a little help from his friends	[Money]
Thu Sep 03 15:10:50 MSK 2015	US news	Alaska puts politics aside for Obama visit: ‘This is the president and this is exciting'	[Barack Obama, Alaska, Climate change, US news, Environment]
Thu Sep 03 15:09:07 MSK 2015	Comment is free	The day a refugee became part of my family | Michael Freedland	[Refugees, Migration, Holocaust, Second world war, UK news, World news]
Thu Sep 03 15:07:48 MSK 2015	Football	Premier League: transfer window summer 2015 – interactive	[Transfer window, Football]
Thu Sep 03 15:06:36 MSK 2015	Sport	Rugby World Cup: concussed players must await all-clear by specialists	[Rugby World Cup 2015, Rugby World Cup, Rugby union, Sport, Concussion in sport]
Thu Sep 03 15:04:35 MSK 2015	Society	Colchester hospital still falling short after two years, watchdog finds	[NHS, Hospitals, Health, Society, UK news, Care Quality Commission (CQC)]
