Mon Aug 31 16:30:21 MSK 2015	Global	Isis karaoke: satire’s answer to hate preachers with microphones	[Islamic State, World news, Comedy, Music, Culture, Twitter, Media, Internet]
Mon Aug 31 16:29:01 MSK 2015	Football	David de Gea in limbo after missed deadline threatens Real Madrid move	[Manchester United, Real Madrid, Transfer window, Football, Sport]
Mon Aug 31 16:24:44 MSK 2015	Technology	Testing Favor: app aims to bring users whatever they need – but does it deliver?	[Apps, Canada, Austin, Texas, Technology, US news, World news, Americas]
Mon Aug 31 16:12:30 MSK 2015	UK news	Family pay tribute to triathlete who went missing during Kent race	[UK news, Triathlon, Fitness]
Mon Aug 31 16:02:29 MSK 2015	Science	Did you solve it? Professor Povey's perplexing problem	[Mathematics, Mathematics, Physics, Physics, Education, Science, Chess]
Mon Aug 31 15:59:55 MSK 2015	Life and style	A shed of one’s own: how women are reclaiming the garden	[Women, Work & careers, Life and style, Business]
Mon Aug 31 15:57:35 MSK 2015	World news	Battle of Britain was won as much by German ineptitude as British heroism	[Second world war, Royal Air Force, Military, UK news, Winston Churchill, Adolf Hitler, Politics past]
Mon Aug 31 15:55:22 MSK 2015	Football	Borussia Dortmund sign Adnan Januzaj on season’s loan from Manchester United	[Borussia Dortmund, Manchester United, Bundesliga, European club football, Football, Sport]
Mon Aug 31 15:54:15 MSK 2015	Books	Terry Pratchett's books are the opposite of 'ordinary potboilers'	[Terry Pratchett, Fiction, Books, Culture, Fantasy, Jane Austen]
Mon Aug 31 15:52:28 MSK 2015	World news	Ukrainian guardsman killed in protests against vote on rebel autonomy	[Ukraine, Russia, Europe, World news]
Mon Aug 31 15:47:32 MSK 2015	Stage	Passion, pain and Picasso: the ballet bringing his Three Dancers to life	[Dance, Pablo Picasso, Art and design, Culture, Stage, Rambert Dance Company, Ballets Russes, Ballet]
Mon Aug 31 15:46:22 MSK 2015	Business	US stock markets finish down to close out worst August in three years	[US markets, Stock markets, Federal Reserve, US news, China, World news, Business, US economy]
Mon Aug 31 15:42:33 MSK 2015	Comment is free	Why I swam across the Mediterranean in solidarity with refugees | Nina Hall	[Refugees, World news, Europe, UK news, Greece, Syria, Middle East and North Africa, United Nations]
Mon Aug 31 15:39:49 MSK 2015	Life and style	Festival de la Poutine: Quebec celebrates cheesy fries, gravy and music	[Food & drink, Quebec, Life and style, Canada, World news, Americas]
Mon Aug 31 15:31:14 MSK 2015	Television & radio	Fall TV report cards: which networks need to do some serious homework?	[US television, NBC, ABC, Fox, CBS, Media, Culture, Television, Television & radio]
Mon Aug 31 15:15:04 MSK 2015	Comment is free	Required gun insurance would put two powerful lobbies at odds. We'd benefit | David Ferguson	[US gun control, Insurance industry, Health insurance, NRA]
Mon Aug 31 15:01:43 MSK 2015	Sport	Horse racing tips: Tuesday 1 September	[Horse racing tips, Horse racing, Sport]
Mon Aug 31 14:54:46 MSK 2015	Film	Max & Lenny review – friendship and rap bask in the Mediterranean hood	[Film, Drama, Culture, Festivals, World cinema, France, Europe, World news]
Mon Aug 31 14:49:14 MSK 2015	Film	The Next Generation Patlabor: Tokyo War review – beyond the uncanny valley	[Film, Culture, Action and adventure, Japan, Anime, Asia Pacific, World news, Festivals]
Mon Aug 31 14:47:30 MSK 2015	Football	Eibar, joint-leaders of La Liga despite being relegated last season | Sid Lowe	[La Liga, European club football, Eibar, Football, Sport]
Mon Aug 31 14:43:31 MSK 2015	Sport	Mark Webber and Porsche take win at Six Hours of Nürburgring	[Mark Webber, World Endurance Championship, Motor sport, Australia sport, Sport]
Mon Aug 31 14:42:45 MSK 2015	Music	The playlist – new bands: Vogue Dots, Gold Celeste, Palace Winter and more	[Music, Pop and rock, Indie, Electronic music, Culture]
Mon Aug 31 14:42:21 MSK 2015	World news	Indecision replaces hope in buildup to Greek elections	[Greece, Syriza, Europe, World news, Alexis Tsipras, Eurozone, European Union]
Mon Aug 31 14:37:44 MSK 2015	UK news	Republican trio jailed for total of 38 years over UDA murder plot	[Scotland, UK news, Northern Ireland, Crime]
Mon Aug 31 14:35:38 MSK 2015	Television & radio	Sign of the times: how Show Me a Hero captures our political mood	[Television, Culture, Television & radio, Drama, The Wire, HBO, US television, US television industry, Media, Television industry, Crime drama, Politics]
Mon Aug 31 14:34:27 MSK 2015	Politics	DUP to call for revival of Northern Ireland ceasefire monitoring system	[Democratic Unionist party (DUP), Northern Ireland, Northern Irish politics, Ulster Unionist Party (UUP), UK news, IRA, UK security and counter-terrorism, Politics]
Mon Aug 31 14:33:23 MSK 2015	UK news	Sarah Ferguson’s busy summer: shopping channels and Swiss chalets	[Sarah Ferguson, Monarchy, UK news]
Mon Aug 31 14:30:48 MSK 2015	Comment is free	We in Alaska see that climate change is real. The time to act is now | Othniel Art Oomittuk	[Climate change, Arctic, Alaska, Obama administration, Royal Dutch Shell, Oil, Oil spills]
Mon Aug 31 14:22:43 MSK 2015	Comment is free	With so many Republicans vying for the wingnut vote, it was only a matter of time before one solved immigration	[US politics, Politics, UK news, US news, Donald Trump, Republicans, Immigration and asylum]
Mon Aug 31 14:19:45 MSK 2015	Sport	Washington to start Kirk Cousins, not Robert Griffin III, for Dolphins opener	[Robert Griffin III, NFL, Sport, US sports, Washington (NFL team)]
Mon Aug 31 14:17:35 MSK 2015	Business	Pfizer resists calls for greater clinical trial transparency	[Pfizer, Pharmaceuticals industry, Business, Drugs, Science]
Mon Aug 31 14:15:03 MSK 2015	Comment is free	Trump's immigration plan would require every Latino to show their papers, please | Julio Ricard Varela	[]
Mon Aug 31 14:13:22 MSK 2015	Books	Books kept me alive in prison	[Society, Books, Culture, Prisons and probation, UK criminal justice, Society]
Mon Aug 31 14:11:44 MSK 2015	Society	Dabbing: the ‘cannabis crack’ that makes skunk seem weak	[Cannabis, Drugs, Society, Health & wellbeing, Life and style]
Mon Aug 31 14:07:13 MSK 2015	Comment is free	Jeremy Corbyn’s first move as leader? Remove the Labour whip | Julian Baggini	[Jeremy Corbyn, Labour party leadership, House of Commons, Labour, Politics, UK news]
Mon Aug 31 14:05:13 MSK 2015	Politics	Spin-doctored wellies, sweary texts and other lessons from a new David Cameron biography	[David Cameron, Conservatives, Politics, Politics, Books]
Mon Aug 31 14:00:03 MSK 2015	Children's books	Girl, Missing by Sophie McKenzie – review	[Children and teenagers, Books, Culture, Teen books, Adventure (children and teens), Friendship (children and teens)]
Mon Aug 31 13:58:33 MSK 2015	World news	French journalists accused of blackmailing Moroccan king claim entrapment	[France, Morocco, Europe, Journalist safety, Books, Media, Middle East and North Africa, Africa, World news, Culture]
Mon Aug 31 13:58:31 MSK 2015	UK news	Lord Montagu of Beaulieu	[UK news, Museums, Conservatives, Rural affairs, LGBT rights, Motoring, Technology, Automotive industry, Conservation, John Osborne, Media]
Mon Aug 31 13:38:38 MSK 2015	Music	Sufjan Stevens review – songs of death delivered with high-wire intensity	[Sufjan Stevens, Edinburgh festival 2015, Pop and rock, Folk music, Culture, Music, Bereavement, Edinburgh festival, Festivals]
Mon Aug 31 13:38:31 MSK 2015	Society	John Winkler obituary	[GPs, NHS, Health, Society]
Mon Aug 31 13:35:33 MSK 2015	Music	Miley Cyrus & Her Dead Petz: first-listen review – leaving her wrecking ball behind	[Miley Cyrus, Music, Culture, Pop and rock, The Flaming Lips, MTV VMAs 2015]
Mon Aug 31 13:28:14 MSK 2015	Comment is free	There’s only one reason for this badger cull – votes | Patrick Barkham	[Badgers, Wildlife, Animals, Environment, Bovine tuberculosis, Rural affairs, Farming, Animal welfare, UK news, Green politics, Conservatives, Politics]
Mon Aug 31 13:26:36 MSK 2015	Stage	Max and Ivan at Edinburgh festival review – vivid cast of comedy eccentrics	[Edinburgh festival 2015, Comedy, Stage, Culture, Edinburgh festival, Festivals, Comedy]
Mon Aug 31 00:48:43 MSK 2015	Media	New York reporter strips off for a piece of undercover journalism	[New York Post, Media, Newspapers, US news, New York, Women, NYPD]
Mon Aug 31 00:48:16 MSK 2015	Comment is free	Nicki Minaj has something serious to say about race. We should listen to her | Suzanne Moore	[Women, Nicki Minaj, Race issues, Music, Miley Cyrus, Kanye West, Taylor Swift, World news, Life and style]
Mon Aug 31 00:44:02 MSK 2015	Sport	Natalie Sciver leads England to T20 consolation Ashes win over Australia	[Women's Ashes, England women's cricket team, Southern Stars, Australia sport, Sport]
Mon Aug 31 00:40:48 MSK 2015	Life and style	Why you should forget ‘nutraceuticals’ and focus on a healthy diet instead	[Food science, Food & drink, Life and style, Science, Food & drink industry, Business]
Mon Aug 31 00:35:19 MSK 2015	Comment is free	Chrissie Hynde is a heroine to me, but she is so wrong on victim blaming | Rhiannon Lucy Cosslett	[Rape, Chrissie Hynde, World news, UK news, Sunday Times, Society, Gender, Women, Life and style]
Mon Aug 31 00:29:10 MSK 2015	Business	Maersk Oil's Culzean gasfield given go-ahead	[Oil, Business, Gas, Commodities]
Mon Aug 31 00:25:12 MSK 2015	Music	Ratking review – hip-hop's mellow punks spark and crackle	[Hip-hop, Music, Rap, Culture, Pop and rock]
Mon Aug 31 00:22:02 MSK 2015	World news	Thai police pay themselves £55,000 reward for bombing arrest	[Thailand, Asia Pacific, World news]
Mon Aug 31 00:17:48 MSK 2015	World news	Chinese reporter makes on-air 'confession' after market chaos	[China, Stock markets, Censorship, Asia Pacific, Business, World news]
Mon Aug 31 00:16:45 MSK 2015	Music	Leeds festival review – Metallica reign in the sun and Foals play a storming secret set	[Reading and Leeds festival, Pop and rock, Music, Culture, Festivals, Music festivals, Metallica, Foals, Kendrick Lamar, The Libertines, Alt-J, Slaves]
Mon Aug 31 00:15:30 MSK 2015	World news	Temple of Bel still standing, says Syria's antiquities chief	[Syria, Religion, Architecture, Islamic State, Middle East and North Africa, Archaeology]
Mon Aug 31 00:14:41 MSK 2015	Sport	Dancing, onesies, magicians ... is baseball in danger of becoming fun?	[Chicago Cubs, MLB, Baseball, US sports, Sport]
Mon Aug 31 00:08:48 MSK 2015	Television & radio	Harry Enfield and Paul Whitehouse: a double act that gets better with age	[Television, Harry Enfield, Comedy, Comedy, Culture, Television & radio]
Mon Aug 31 00:03:01 MSK 2015	Music	San Francisco Symphony/Tilson Thomas review – Jeremy Denk is all fists on the piano … in a good way	[BBC Proms 2015, Classical music, Music, Culture, Proms, Festivals, Music festivals]
Mon Aug 31 00:00:00 MSK 2015	World news	In Paraguay's remote north guerrillas are still at large, armed and dangerous	[Paraguay, World news, Americas]
