Wed Aug 19 14:41:40 MSK 2015	Comment is free	The Guardian view on Eritrea: listen to the voices of those who have fled | Editorial	[Eritrea, Africa, World news, Human rights, Law, Migration]
Wed Aug 19 14:40:34 MSK 2015	Television & radio	Six of the best: memorable soap returns, from EastEnders to Dallas	[Soap opera, EastEnders, Neighbours, Coronation Street, Hollyoaks, Television, Culture, Television & radio, Dallas]
Wed Aug 19 14:37:16 MSK 2015	Film	American Ultra: should the amnesiac spy trope be forgotten?	[American Ultra, Film, Jesse Eisenberg, Arnold Schwarzenegger, Culture]
Wed Aug 19 14:33:01 MSK 2015	Stage	17 Border Crossings at Edinburgh festival review – elegant storyteller travels light	[Edinburgh festival 2015, Stage, Theatre, Culture, Edinburgh festival, Festivals, Travel]
Wed Aug 19 14:28:43 MSK 2015	Television & radio	Eve Ensler: trans people have been caricatures for too long	[Television, Culture, Sexuality, Media, Transgender, Society, Stage, Television & radio, Eve Ensler]
Wed Aug 19 14:17:09 MSK 2015	World news	Khaled al-Asaad profile: the Howard Carter of Palmyra	[Syria, Islamic State, Archaeology, Middle East and North Africa, Science, World news]
Wed Aug 19 14:16:56 MSK 2015	Global development	Canadian mining company accused of exploiting Eritrea's forced labour	[Global development, Mining, United Nations, World news, Gold, Human rights, Commodities, Law, Eritrea, Africa, Business, Natural resources and development]
Wed Aug 19 14:15:20 MSK 2015	Books	Modern version of Don Quixote declared 'crime against literature'	[Miguel de Cervantes, Fiction, Books, Culture, Spain]
Wed Aug 19 14:13:38 MSK 2015	Comment is free	Half of a Yellow Sun shocked me into a sense of my own expatriate identity | Claire Armitstead	[Nigeria, Books, Chimamanda Ngozi Adichie, Africa, World news]
Wed Aug 19 14:10:05 MSK 2015	Life and style	Why are caravans and motor homes always white?	[Caravans and campervans, Life and style, Road transport]
Wed Aug 19 14:09:43 MSK 2015	Education	GCSE results 2015: share your photos and stories	[GCSEs, Education, Exams, Schools]
Wed Aug 19 14:07:31 MSK 2015	Education	Jeanne Strickland obituary	[Teaching, Schools, Education, Shakespeare's Globe, Stage]
Wed Aug 19 14:05:16 MSK 2015	Television & radio	Susan Sheridan obituary	[Radio, Stage, Culture, Douglas Adams, Books]
Wed Aug 19 14:05:05 MSK 2015	Life and style	Why do I feel impelled to keep my books? Why not just give them away?	[Life and style, Books, Culture]
Wed Aug 19 14:00:17 MSK 2015	Art and design	A latter-day freak show? Bruce Gilden's extreme portraits are relentlessly cruel	[Photography, Art and design, Books, Art and design, Culture]
Wed Aug 19 14:00:05 MSK 2015	Children's books	The Perks of Being a Wallflower by Stephen Chbosky – review	[Children and teenagers, Books, Culture, Teen books, Friendship (children and teens), Teen romance (childrens and teens), School]
Wed Aug 19 13:57:35 MSK 2015	Media	David Simpson obituary	[Newspapers, The Guardian, Dundee, The Observer, Scotland, Newspapers & magazines, National newspapers, Media]
Wed Aug 19 13:57:24 MSK 2015	Comment is free	Think Vladimir Putin looks like a Bond villain? It’s more serious than that | Jonathan Jones	[Vladimir Putin, World news, Russia, Europe, Crimea, Ukraine, Photography]
Wed Aug 19 13:43:22 MSK 2015	Castello Cheese Smorging	Heavenly  hamburgers	[Castello Cheese Smorging]
Wed Aug 19 13:40:00 MSK 2015	Football	Carlton Fairweather adds a little Crazy Gang spirit to Sunderland Ladies	[Women's Super League, Sunderland, Women's football, Football, Sport]
Wed Aug 19 13:26:46 MSK 2015	World news	Paris shootings survivor sues French media for 'putting his life in danger'	[Charlie Hebdo attack, France, Television industry, Europe, World news, Paris, Media]
Wed Aug 19 13:22:43 MSK 2015	Music	BFO/Fischer review – musicianship that is invigorating to witness	[Classical music, Edinburgh festival 2015, Culture, Music]
Wed Aug 19 13:15:50 MSK 2015	Film	BBFC director David Cooke to retire in March	[Film, Culture, Censorship]
Wed Aug 19 13:06:55 MSK 2015	Film	Hitman: Agent 47 review – an idiotic mess with gory flair	[Hitman: Agent 47, Film, Culture, Action and adventure, Science fiction and fantasy, Games, Technology, Rupert Friend]
Wed Aug 19 13:06:30 MSK 2015	US news	Birthright citizenship: a history of futile conservative attempts to repeal law	[US immigration, Donald Trump, Republicans, US elections 2016, Race issues, US constitution and civil liberties, US supreme court, Law, US news]
Wed Aug 19 13:06:12 MSK 2015	Television & radio	Dough! Mary Berry blurts out name of next Bake Off contestant to get chop	[The Great British Bake Off, Culture, Food TV, Television, Television & radio, Radio, Radio 2, Chris Evans, BBC, Media, Radio industry, Mary Berry, Baking, Food & drink, Life and style]
Wed Aug 19 13:06:08 MSK 2015	UK news	Plane Stupid activists plead not guilty over Heathrow expansion protest	[UK news, Heathrow airport, Environment, Activism, Pollution, Greenhouse gas emissions]
Wed Aug 19 13:06:06 MSK 2015	Media	Notting Hill carnival criticised for charging £100 for press accreditation	[News photography, Newspapers, Newspapers & magazines, Media, Notting Hill carnival, London, UK news]
Wed Aug 19 13:03:28 MSK 2015	US news	Hillary Clinton: alleged classified emails simply 'disagreement between agencies'	[Hillary Clinton, US news, US politics, US elections 2016]
Wed Aug 19 13:00:06 MSK 2015	Media Network	Brand damage for Amazon and a triumph for old media	[Media & Tech Network, Amazon.com, New York Times, Media, Technology, Social media, Digital media, E-commerce, Newspapers, Newspapers & magazines, Jeff Bezos]
Wed Aug 19 00:56:45 MSK 2015	Global development	World Humanitarian Day: anxiety grows over $12bn crisis funding shortfall	[Humanitarian response, Development data, Aid, Global development, United Nations]
