Wed Aug 05 11:07:38 MSK 2015	Guardian Sustainable Business	How cities are innovating towards a circular economy	[Partner zone Philips]
Wed Aug 05 11:07:34 MSK 2015	Society	Will you be affected if Kids Company closes its services?	[Charities, Society, Voluntary sector, Camila Batmanghelidjh, Children, Kids Company]
Wed Aug 05 11:00:12 MSK 2015	US news	Mere sight of a gun makes police – and public – more aggressive, experts say	[US policing, US news]
Wed Aug 05 11:00:11 MSK 2015	US news	Alena Bradford fundraising page seeks to help black trans woman transition	[Georgia, Transgender, Atlanta, Society, US news, LGBT rights]
Wed Aug 05 11:00:10 MSK 2015	Children's books	Gerry Anderson's Gemini Force One: Black Horizon by M.G. Harris	[Children and teenagers, Books, Culture, Adventure (children and teens), Children's books: 8-12 years]
Wed Aug 05 11:00:10 MSK 2015	Science	Count us in: our need for quantitative skills has never been greater	[Mathematics, Education policy, Science]
Wed Aug 05 11:00:10 MSK 2015	Books	Return: A Palestinian Memoir by Ghada Karmi review – good intentions turn to bitterness and isolation	[Autobiography and memoir, Biography, Books, Culture, Palestinian territories, Israel, Middle East and North Africa, World news]
Wed Aug 05 11:00:10 MSK 2015	World news	Brazilian Hiroshima survivors campaign against new push for nuclear power	[Brazil, World news, Americas, Nuclear power, Nuclear weapons, Environment, Japan]
Wed Aug 05 11:00:09 MSK 2015	Football	Premier League 2015-16: Guardian football writers’ season predictions	[Premier League 2015-16 previews, Premier League, Football, Sport]
Wed Aug 05 10:43:25 MSK 2015	Comment is free	How Kids Company’s unconventional approach contributed to its downfall | Mary Dejevsky	[Camila Batmanghelidjh, Voluntary sector, Children, Society, Charities, UK news, Kids Company]
Wed Aug 05 10:33:57 MSK 2015	Technology	#iLookLikeAnEngineer: engineers take to Twitter to dispel all-male myth	[Twitter, Technology, Internet, Software, Engineering, Social media, Social networking, Equality]
Wed Aug 05 10:31:16 MSK 2015	UK news	London tube strike: Boris urges unions to put new offer to RMT members	[London Underground, Trade unions, Boris Johnson, London, UK news, Politics, Rail transport, Transport, Industrial action]
Wed Aug 05 10:30:32 MSK 2015	Media	BBC denies Alan Yentob influenced Newsnight's Kids Company report	[Alan Yentob, BBC, Media, Charities, Camila Batmanghelidjh, Children, UK news, Kids Company]
Wed Aug 05 10:25:27 MSK 2015	Sport	Talking Horses: Wednesday’s best bets plus the latest racing news	[Horse racing tips, Horse racing, Sport]
Wed Aug 05 10:24:13 MSK 2015	Global Development Professionals Network	Explainer: Where were you in the #wormwars?	[Improving nutrition and food security - global development professionals network, Global development professionals network, Poverty, Science, Health, Medical research, World Health Organisation, World news, Blogging, Media, Kenya, Africa]
Wed Aug 05 10:22:29 MSK 2015	Education	Get the most for your money at university	[Students, Higher education, Education, Student finance, Money, Applying to university, Advice for students, Sixth form, Clearing, A-levels]
Wed Aug 05 10:21:26 MSK 2015	World news	Peter Abetz points to positive legacy of his high-ranking Nazi great-uncle	[Second world war, Western Australia, Western Australian politics, Eric Abetz, Nazism, Germany, Adolf Hitler]
Wed Aug 05 10:20:34 MSK 2015	Public Leaders Network	Police officers must be trained to step in early and prevent crime	[Public Leaders Network, Criminal justice, Police and crime commissioners, Police, Public service delivery, UK news, Public sector careers, Leadership and management, Society]
Wed Aug 05 10:20:22 MSK 2015	Technology	Apple will fix Mac OS X bug amid security concerns	[Apple, Computing, Technology]
Wed Aug 05 10:15:18 MSK 2015	Media	Sky Sports to continue showing La Liga for another three seasons	[Sky Sports, BT Sport, La Liga, Sport, European club football, Football, Sky plc, Television industry, Media]
Wed Aug 05 10:09:32 MSK 2015	Society	Kids Company: ex-children's minister raised 'serious concerns' about charity	[Charities, Camila Batmanghelidjh, UK news, Children, Society, Voluntary sector, Politics, Kids Company]
Wed Aug 05 10:09:19 MSK 2015	Music	'Punching people is fun': meet composer (and church organist) Kara-Lis Coverdale	[Music, Experimental music, Electronic music, Culture]
